model,ticker,step,lookback,units,window,seed,rmse_train,mae_train,mape_train,rmse_test,mae_test,mape_test,train_time_s,infer_time_train_s,infer_time_test_s,ts
FuzzyBasic,AAPL,1d,1,16,10,42,0.1152303824298822,0.0446135178208351,2.232923984527588,2.3414101683030486,1.404731273651123,1.2543504238128662,128.03242826461792,0.9877519607543944,0.258742094039917,1777042116.4631937
FuzzyMomentum,AAPL,1d,1,16,10,42,0.1182185000349664,0.0486638359725475,3.736377954483032,2.35460650855937,1.4180511236190796,1.2573901414871216,125.87216591835022,1.0356101989746094,0.2896795272827148,1777042304.1788073
FuzzyTrend,AAPL,1d,1,16,10,42,0.1164678810487413,0.0458336099982261,2.60760498046875,2.668614679340802,1.522069215774536,1.310916781425476,129.67070508003235,1.0826847553253174,0.2919707298278808,1777042576.6771126
FuzzyVolatility,AAPL,1d,1,16,10,42,0.1159596611638393,0.0464565753936767,3.0979220867156982,2.3448512224124207,1.4083739519119265,1.2554272413253784,132.48337626457214,1.2962076663970947,0.3621354103088379,1777042799.202316
FuzzyAll,AAPL,1d,1,16,10,42,0.1177814215236031,0.0460382848978042,2.335181713104248,2.3769674684692026,1.438270092010498,1.2683913707733154,123.82615280151369,1.0211341381072998,0.2411520481109619,1777043017.8182244
FuzzyBasic,INTC,1d,1,16,10,42,0.5576089835022721,0.261107325553894,2.072458982467652,1.039496883143623,0.6573020815849304,1.658830642700195,136.11633348464966,1.0165729522705078,0.2584595680236816,1777046371.9296649
FuzzyMomentum,INTC,1d,1,16,10,42,0.5562566671079061,0.2643003761768341,2.086104154586792,1.0515023065488207,0.6661533117294312,1.6757100820541382,130.62111139297485,1.582292079925537,0.3988757133483886,1777046547.0943573
FuzzyTrend,INTC,1d,1,16,10,42,0.5560439274573885,0.2614649832248688,1.8751580715179443,1.0421183687584554,0.6627921462059021,1.6674444675445557,150.00259137153623,1.0694329738616943,0.2382614612579345,1777046712.677879
FuzzyVolatility,INTC,1d,1,16,10,42,0.5560321091790155,0.2609939575195312,1.941033124923706,1.043109669969843,0.6607524752616882,1.6629613637924194,135.7031388282776,1.1334545612335205,0.2384736537933349,1777046855.5480204
FuzzyAll,INTC,1d,1,16,10,42,0.5536778354337404,0.263573944568634,1.9068284034729004,1.0386570304277514,0.6623800992965698,1.6689579486846924,135.41098546981812,1.081782341003418,0.281036376953125,1777046998.1241353
FuzzyBasic,TSLA,1d,1,16,10,42,3.921619543745445,1.5403140783309937,8.494240760803223,10.18227322601964,7.420027732849121,2.7846271991729736,57.31451773643494,0.7152409553527832,0.1430110931396484,1777047133.0613594
FuzzyMomentum,TSLA,1d,1,16,10,42,4.375673514703238,2.486698627471924,22.552209854125977,10.06672759721855,7.360947132110596,2.7589242458343506,60.18649935722351,1.1250340938568115,0.2289543151855468,1777047218.708507
FuzzyTrend,TSLA,1d,1,16,10,42,4.116028016212842,2.003662586212158,15.460893630981444,10.093784391267842,7.405574798583984,2.7878124713897705,62.03416848182678,0.8027377128601074,0.1481759548187255,1777047293.984458
FuzzyVolatility,TSLA,1d,1,16,10,42,4.503567235384405,3.0820348262786865,39.253719329833984,10.662800763842236,7.890495777130127,2.989908695220948,56.91355586051941,1.0052478313446045,0.2362985610961914,1777047361.3324945
FuzzyAll,TSLA,1d,1,16,10,42,4.354645819818697,2.472400426864624,22.19646644592285,10.198938232210896,7.47959566116333,2.803483247756958,52.25394034385681,0.7028112411499023,0.1480371952056884,1777047428.363021
FuzzyBasic,NVDA,1d,1,16,10,42,0.0482950966772039,0.0212805401533842,4.175356388092041,2.3706851714041,1.305093765258789,2.377432346343994,86.69942045211792,0.9228665828704834,0.2092132568359375,1777047589.339227
FuzzyMomentum,NVDA,1d,1,16,10,42,0.0485116837577653,0.0205903425812721,3.397500991821289,5.985050332631369,3.305414915084839,3.6816234588623047,85.48429703712463,0.8346714973449707,0.1816291809082031,1777047682.3871713
FuzzyTrend,NVDA,1d,1,16,10,42,0.0483287740806259,0.0214088484644889,3.822151899337769,2.632823457327208,1.402459979057312,2.50234603881836,84.63602685928345,1.37256121635437,0.2711765766143799,1777047809.9443412
FuzzyVolatility,NVDA,1d,1,16,10,42,0.0483215013055574,0.0210052616894245,3.596034288406372,2.362298732843105,1.2971638441085815,2.363221406936645,84.54504752159119,1.156200885772705,0.1647074222564697,1777047925.0587254
FuzzyAll,NVDA,1d,1,16,10,42,0.0484291681883972,0.0213510394096374,3.614398002624512,18.353635239746698,8.576940536499023,9.047673225402832,85.06488966941833,1.3866724967956543,0.196176528930664,1777048025.212489
FuzzyBasic,MSFT,1d,1,16,10,42,0.516039970337666,0.2847599685192108,1.968976616859436,4.4260068534594605,2.8048527240753174,1.1660380363464355,125.74799180030824,2.6355674266815186,0.742290735244751,1777048206.544284
FuzzyMomentum,MSFT,1d,1,16,10,42,0.5207538989210014,0.2907401025295257,2.442430257797241,4.4602661696584,2.843691110610962,1.1731367111206057,121.09007620811462,1.6184942722320557,0.3941729068756103,1777048345.9502802
FuzzyTrend,MSFT,1d,1,16,10,42,0.5170103881998663,0.2887684106826782,2.8134987354278564,4.435844649914908,2.81874680519104,1.171104073524475,119.72826433181764,0.9722802639007568,0.216094970703125,1777048534.416643
FuzzyVolatility,MSFT,1d,1,16,10,42,0.5173604255461222,0.2924014031887054,3.514300346374512,5.134518971110854,3.3376305103302,1.3196125030517578,115.80560064315796,0.9149482250213624,0.2282383441925048,1777048657.5743349
FuzzyAll,MSFT,1d,1,16,10,42,0.5202847229929134,0.2903203964233398,2.044626474380493,4.9063880074887365,3.2740910053253174,1.3155252933502195,112.86745381355286,1.129131555557251,0.2441046237945556,1777048818.579399
FuzzyBasic,EURUSD=X,1d,1,16,10,42,0.0100112381875412,0.0060017756186425,0.4688348174095154,0.0051221139953021,0.0038572242483496,0.3494450449943542,83.11433029174805,0.8187985420227051,0.1879057884216308,1777049039.7129848
FuzzyMomentum,EURUSD=X,1d,1,16,10,42,0.0093166493531814,0.0058491281233727,0.4578397274017334,0.0051729854869231,0.0038956708740442,0.3532136976718902,76.23355436325073,0.7763955593109131,0.1555268764495849,1777049128.1718578
FuzzyTrend,EURUSD=X,1d,1,16,10,42,0.0093389090998364,0.0058970977552235,0.4613811671733856,0.0051258212213803,0.0038603395223617,0.3498347699642181,71.52649283409119,0.7620265483856201,0.1601655483245849,1777049214.3860192
FuzzyVolatility,EURUSD=X,1d,1,16,10,42,0.0093899119948158,0.0059610037133097,0.4659770131111145,0.0051394194653074,0.0038709028158336,0.3508085310459137,73.43264484405518,0.7488679885864258,0.1606757640838623,1777049319.635694
FuzzyAll,EURUSD=X,1d,1,16,10,42,0.0092857304893441,0.0059085604734718,0.4615337252616882,0.0051249178255362,0.0038475019391626,0.3488764762878418,70.49080657958984,0.7983429431915283,0.1804280281066894,1777049408.4450123
FuzzyBasic,CHF=X,1d,1,16,10,42,0.0073616983674547,0.0048875943757593,0.4650298058986664,0.0045455791598661,0.0033347143325954,0.3748535811901092,78.67210745811462,0.7931461334228516,0.1608211994171142,1777049540.8130848
